flight_number,pilot_name,departure_airport,departure_city,departure_country,arrival_airport,arrival_city,arrival_country,duration_hours,departure_time,date,isLate
AM9697,Corrianne,Benito Juárez International,Milltown,Ireland,El Dorado International,Saurimo,Angola,15.0,3:04 AM,6/25/2025,true
AZ6013,Averell,Leonardo da Vinci International,Ban Talat Bueng,Thailand,Charles de Gaulle,Murça,Portugal,1.52,2:46 AM,4/10/2026,true
AZ9023,Ainslee,Leonardo da Vinci International,Jenamas,Indonesia,Charles de Gaulle,Maca,Peru,4.97,2:17 AM,3/1/2026,true
EK6770,Willabella,Dubai International,Bernay,France,Hamad International,Ningdun,China,11.28,9:45 AM,3/19/2026,true
UA7542,Jacinthe,Los Angeles International,Tanushimarumachi-toyoki,Japan,San Francisco International,Bearna,Ireland,13.47,11:21 PM,5/8/2025,false
TG7965,Frants,Suvarnabhumi,Campina Grande,Brazil,Brisbane Airport,Ljutomer,Slovenia,8.86,11:52 PM,7/7/2025,true
BA6415,Jamie,Heathrow,Kang-neung,South Korea,Charles de Gaulle,Yulin,China,12.76,10:00 AM,6/24/2025,false
BA8525,Horace,Heathrow,Tosno,Russia,Charles de Gaulle,Soras,Peru,14.08,1:49 AM,1/23/2026,false
AM8176,Halsy,Benito Juárez International,Balibago,Philippines,Los Angeles International,Ciganaria,Indonesia,10.85,4:12 AM,2/19/2026,false
QF2974,Simeon,Sydney Airport,Dacun,China,Melbourne Airport,Isiro,Democratic Republic of the Congo,22.95,7:54 AM,4/10/2026,false
KE9821,Daniella,Incheon International,Menampukrajan,Indonesia,Haneda,Taoxi,China,4.85,8:44 AM,8/17/2025,true
DL6507,Robenia,John F. Kennedy International,Huwei,China,Hartsfield-Jackson Atlanta,Cikarang,Indonesia,2.08,9:09 PM,5/17/2025,true
EK9909,Hilary,Dubai International,Báguanos,Cuba,Hamad International,Tsagaanders,Mongolia,20.88,6:03 PM,5/8/2025,true
AZ1200,Birk,Leonardo da Vinci International,Eqbālīyeh,Iran,Charles de Gaulle,Yubilyeyny,Belarus,18.27,5:23 AM,12/11/2025,true
IB6826,Gilli,Adolfo Suárez Madrid–Barajas,Embalse,Argentina,Charles de Gaulle,Satis,Russia,15.3,8:11 AM,3/24/2026,true
UA8275,Ephraim,Los Angeles International,Nestório,Greece,San Francisco International,Kumba,Cameroon,22.1,11:28 PM,1/25/2026,true
WN8112,Carita,Los Angeles International,Nanterre,France,San Francisco International,Jalalaqsi,Somalia,5.74,4:23 AM,6/2/2025,false
TG7191,Letisha,Suvarnabhumi,Yongqin,China,Changi,Buawan,Philippines,1.88,9:05 PM,6/22/2025,false
AF2649,Jaime,Charles de Gaulle,Argostólion,Greece,Frankfurt Airport,Pefkochóri,Greece,12.98,5:46 PM,8/2/2025,false
SQ7676,Julietta,Changi,Jetis,Indonesia,Incheon International,Taling Chan,Thailand,1.83,9:12 AM,11/2/2025,true
AV9933,Wyn,El Dorado International,Petäjävesi,Finland,O'Hare International,Youkaichi,Japan,19.08,6:12 PM,3/6/2026,false
WN6482,Tanny,Los Angeles International,Zhanbei,China,Denver International,Itarana,Brazil,23.93,1:41 AM,3/29/2026,true
KE7076,Trey,Incheon International,Belén de los Andaquíes,Colombia,Haneda,Liushui,China,11.75,7:08 AM,11/2/2025,false
NZ7385,Ferris,Auckland Airport,San Pedro de Lloc,Peru,Sydney Airport,Embi,Kazakhstan,15.6,4:01 AM,6/8/2025,false
AC6293,Teddie,Toronto Pearson,Néa Magnisía,Greece,John F. Kennedy International,København,Denmark,22.5,1:20 PM,8/21/2025,false
QF4930,Elka,Sydney Airport,Wuyun,China,Stockholm Arlanda,Dingtao,China,22.56,11:13 PM,5/28/2025,true
NZ6707,Harlie,Auckland Airport,Santa María de Ipire,Venezuela,Sydney Airport,Jabłoń,Poland,8.84,8:01 PM,9/4/2025,true
SK6761,Babb,Copenhagen Airport,Chemerivtsi,Ukraine,Charles de Gaulle,Kurnia,Indonesia,5.39,6:33 PM,3/20/2026,false
AA2247,Brant,John F. Kennedy International,Panjing,China,Hartsfield-Jackson Atlanta,Dodol,Indonesia,2.31,4:49 AM,1/21/2026,true
SA4881,Niko,O.R. Tambo International,Bucheon-si,South Korea,Charles de Gaulle,Anzihao,China,19.02,10:52 PM,12/25/2025,true
AI1298,Marcos,Indira Gandhi International,Miguel Hidalgo,Mexico,Chhatrapati Shivaji International,Ōi,Japan,11.97,8:58 AM,9/23/2025,false
NH9219,Brod,Haneda,Srono,Indonesia,Hamad International,Ourtzagh,Morocco,8.64,8:46 AM,12/15/2025,false
QF6150,Terrance,Sydney Airport,Pasaje,Ecuador,Melbourne Airport,Gaotieling,China,12.34,11:13 PM,8/30/2025,true
NZ9726,Hugh,Auckland Airport,Loyola,Philippines,Melbourne Airport,Bretaña,Peru,11.05,9:31 AM,5/30/2025,false
AF5545,Ignace,Charles de Gaulle,Liverpool,United Kingdom,Toronto Pearson,Sonder,Indonesia,11.47,4:00 PM,5/13/2025,true
KL7867,Emmalee,Amsterdam Airport Schiphol,Chillán,Chile,Hamad International,Shabqadar,Pakistan,8.21,8:04 AM,5/21/2025,false
AM2164,Gerry,Benito Juárez International,Satipo,Peru,Heathrow,Selydove,Ukraine,13.53,12:12 PM,12/14/2025,true
ET6441,Joseph,Bole International,Aguelmous,Morocco,Hamad International,Gadingrejo,Indonesia,15.58,9:20 PM,6/12/2025,false
AM3700,Lilllie,Benito Juárez International,Tours,France,Los Angeles International,Kapsan-ŭp,North Korea,6.59,6:58 PM,12/17/2025,false
TG1883,Derek,Suvarnabhumi,Krajan Pakel,Indonesia,Changi,Rychtal,Poland,8.09,10:07 AM,9/13/2025,false
TG3255,Ali,Suvarnabhumi,Bandar-e Torkaman,Iran,Changi,Matozinhos,Brazil,17.52,5:34 AM,9/16/2025,false
AA2935,Yale,John F. Kennedy International,Klimontów,Poland,Hartsfield-Jackson Atlanta,Dębowa Łąka,Poland,17.96,4:49 PM,10/24/2025,true
UA1033,Tabor,Los Angeles International,Brloh,Czech Republic,San Francisco International,Lyon,France,22.91,9:49 PM,5/3/2025,true
BA9628,Rasla,Heathrow,Pobral,Portugal,Charles de Gaulle,Youfang,China,5.18,10:52 AM,11/15/2025,true
QR9299,Jocko,Hamad International,Fryazino,Russia,Bole International,Redakodi,Indonesia,18.84,4:17 AM,8/26/2025,false
SK7047,Allix,Copenhagen Airport,Santa Teresita,Philippines,Charles de Gaulle,Quebrada Larga,Honduras,3.01,8:19 PM,2/23/2026,false
LA7789,Sher,São Paulo/Guarulhos International,Kauswagan,Philippines,Ministro Pistarini International,Longxing,China,15.11,12:11 PM,10/18/2025,false
QR4865,Zelma,Hamad International,Phú Thái,Vietnam,Bole International,Vila de Sal Rei,Cape Verde,6.79,2:18 PM,5/29/2025,false
WN5978,Amber,Los Angeles International,Golovinskiy,Russia,Vancouver International,Yichun,China,5.85,10:31 AM,8/19/2025,true
NH7496,Normy,Haneda,Aqtöbe,Kazakhstan,Incheon International,K Bang,Vietnam,1.88,6:46 PM,9/5/2025,false
AA1824,Donella,John F. Kennedy International,Mabini,Philippines,Dallas/Fort Worth International,Mikulintsy,Ukraine,11.09,10:55 AM,12/29/2025,true
BA7948,Keene,Heathrow,Ashcroft,Canada,Leonardo da Vinci International,Pingshi,China,8.1,6:50 PM,9/21/2025,true
AV7509,Nehemiah,El Dorado International,Deqing,China,O'Hare International,Las Vegas,United States,8.11,11:29 PM,10/26/2025,true
SA3979,Antony,O.R. Tambo International,Amqui,Canada,Charles de Gaulle,Non Sung,Thailand,5.62,7:29 PM,11/21/2025,false
LH6269,Morgen,Frankfurt Airport,Rokycany,Czech Republic,Charles de Gaulle,Sviblovo,Russia,9.07,10:33 AM,9/13/2025,true
KE5551,Bogart,Incheon International,Silae,Philippines,Kuala Lumpur International,Rio das Pedras,Brazil,19.61,1:35 AM,12/12/2025,false
UA4772,Trefor,Los Angeles International,Lekas,Albania,Denver International,Novo Hamburgo,Brazil,20.75,5:32 AM,1/10/2026,true
AZ5348,Jere,Leonardo da Vinci International,Przytyk,Poland,Charles de Gaulle,Alvega,Portugal,10.35,12:25 PM,3/28/2026,true
AI2488,Shena,Indira Gandhi International,Haninge,Sweden,Chhatrapati Shivaji International,Neglasari,Indonesia,18.56,3:56 PM,1/15/2026,true
EK5416,Piper,Dubai International,Nangka,Philippines,Hamad International,Takeo,Japan,20.35,12:44 AM,5/16/2025,false
NZ1988,Carmelina,Auckland Airport,Zarzal,Colombia,Melbourne Airport,Bakhmach,Ukraine,16.15,3:07 AM,8/21/2025,false
KE7700,Hank,Incheon International,Shengci,China,Haneda,Būsh,Egypt,16.55,8:33 AM,11/8/2025,true
WN9725,Bourke,Los Angeles International,Velikiye Borki,Ukraine,San Francisco International,Cibeureum,Indonesia,15.43,5:20 PM,6/30/2025,false
AI6572,Heriberto,Indira Gandhi International,Depapre,Indonesia,Chhatrapati Shivaji International,Thị Trấn Mường Khến,Vietnam,11.7,2:26 AM,10/3/2025,true
SQ2917,Dorie,Changi,Kuching,Malaysia,Beijing Capital International,Yuqian,China,6.07,7:27 PM,1/25/2026,true
QR9747,Gertie,Hamad International,Järfälla,Sweden,Bole International,Sarbīsheh,Iran,12.88,2:48 AM,9/14/2025,true
QF5892,Ellsworth,Sydney Airport,Daxin,China,Melbourne Airport,Sumberkenanga,Indonesia,20.46,5:27 AM,3/16/2026,true
NZ4615,Kendell,Auckland Airport,Zhoutian,China,Munich Airport,Villa Ángela,Argentina,8.15,12:54 PM,11/20/2025,false
ET5547,Pammy,Bole International,Qianzhou,China,O'Hare International,Anaráchi,Greece,20.67,12:38 AM,5/24/2025,false
SK6503,Steven,Copenhagen Airport,Irbit,Russia,Charles de Gaulle,Plandi,Indonesia,7.54,12:28 PM,9/16/2025,true
IB7772,Mommy,Adolfo Suárez Madrid–Barajas,Mbouda,Cameroon,Charles de Gaulle,Gesikan,Indonesia,7.68,9:00 PM,12/30/2025,true
NZ9915,Berenice,Auckland Airport,Solčava,Slovenia,Sydney Airport,Mosquée,Morocco,10.51,7:30 AM,1/8/2026,false
AM4377,Hedda,Benito Juárez International,Qiaozhen,China,O'Hare International,Dniprovka,Ukraine,10.07,3:31 AM,4/6/2026,true
LH4128,Aindrea,Frankfurt Airport,Jingjiang,China,Charles de Gaulle,Tomado,Philippines,18.97,8:17 AM,12/27/2025,true
AA2860,Thorin,John F. Kennedy International,Cavaillon,France,Hartsfield-Jackson Atlanta,Yakutsk,Russia,10.08,6:47 AM,3/5/2026,false
UA5079,Janith,Los Angeles International,Sabaneta,Venezuela,San Francisco International,Bettendorf,Luxembourg,9.58,3:03 AM,12/11/2025,true
SA2730,Pacorro,O.R. Tambo International,Sitampiky,Madagascar,Charles de Gaulle,Huangtu,China,13.63,10:37 PM,2/7/2026,true
KL9159,Marcelia,Amsterdam Airport Schiphol,Solok,Indonesia,Vienna International,Zalaegerszeg,Hungary,1.16,5:11 AM,2/27/2026,true
AF7593,Koo,Charles de Gaulle,Yāsūf,Palestinian Territory,Frankfurt Airport,San Francisco,Colombia,17.7,2:32 AM,11/14/2025,true
TG8956,Nicolais,Suvarnabhumi,Kallinge,Sweden,Changi,Lysice,Czech Republic,8.23,9:26 AM,10/22/2025,true
WN9690,Wayland,Los Angeles International,Kapyl’,Belarus,San Francisco International,Starobachaty,Russia,19.8,9:27 AM,9/1/2025,false
SK7017,Whit,Copenhagen Airport,Baiyun,China,Charles de Gaulle,Fastovetskaya,Russia,14.49,2:00 PM,2/4/2026,true
NZ8553,Melvin,Auckland Airport,Åby,Sweden,Sydney Airport,Foros do Trapo,Portugal,13.19,12:40 AM,5/17/2025,false
CX5062,Tobias,Hong Kong International,Zhapu,China,Changi,Cidima,Indonesia,19.92,11:33 AM,4/1/2026,false
SQ6860,Jerad,Changi,Charenton-le-Pont,France,Beijing Capital International,Ribas do Rio Pardo,Brazil,16.42,9:01 PM,4/5/2026,true
QR7450,Brittni,Hamad International,Blumenau,Brazil,Hong Kong International,Diamantino,Brazil,22.66,2:35 PM,3/28/2026,false
EK8076,Gilbertina,Dubai International,Krujë,Albania,Hamad International,Datian,China,7.81,4:10 PM,9/6/2025,false
SA9234,Wilmer,O.R. Tambo International,Kozmice,Czech Republic,Charles de Gaulle,Jetis,Indonesia,8.54,4:35 PM,5/21/2025,false
UA2787,Kimmi,Los Angeles International,Soko,Indonesia,Vancouver International,Dalkey,Ireland,10.87,4:23 PM,1/3/2026,false
TG6875,Kareem,Suvarnabhumi,Sao Hai,Thailand,Changi,Obando,Colombia,23.69,12:11 PM,8/12/2025,true
SQ8804,Lauretta,Changi,Yanxi,China,Beijing Capital International,Aldeia da Bela Vista,Portugal,18.54,9:36 PM,5/7/2025,false
AC3806,Devonna,Toronto Pearson,Frösön,Sweden,Hartsfield-Jackson Atlanta,Yubileynyy,Russia,23.51,12:48 AM,4/29/2025,true
QR4365,Gamaliel,Hamad International,Laojun,China,Benito Juárez International,Dinaig,Philippines,16.29,9:54 PM,6/16/2025,true
EK9410,Nara,Dubai International,San Antonio,Argentina,Charles de Gaulle,Susuman,Russia,10.98,4:41 AM,3/28/2026,false
LH7516,Marsha,Frankfurt Airport,Tayuan,China,Charles de Gaulle,Stupsk,Poland,14.22,3:47 AM,6/4/2025,false
AI1710,Keen,Indira Gandhi International,Ōmiya,Japan,Chhatrapati Shivaji International,Munggang,Indonesia,10.99,10:47 PM,1/16/2026,false
CX3579,Gwynne,Hong Kong International,Şaḩneh,Iran,Changi,Philadelphia,United States,3.61,4:58 AM,7/29/2025,true
SK4873,Ericka,Copenhagen Airport,Makumbako,Tanzania,Charles de Gaulle,Kulun,China,19.36,8:55 AM,12/20/2025,false
CX6143,Lewiss,Hong Kong International,Gornji Petrovci,Slovenia,Changi,Qintong,China,14.63,2:28 AM,8/23/2025,false
NZ6454,Chaim,Auckland Airport,Parthenay,France,Sydney Airport,Pretoria,South Africa,18.2,2:57 PM,6/16/2025,true
UA6061,Carmita,Los Angeles International,Medellín,Colombia,Vancouver International,Hamburg,Germany,13.35,7:10 AM,6/16/2025,true
AI4651,Fredek,Indira Gandhi International,Pojok,Indonesia,Chhatrapati Shivaji International,Caijiagang,China,4.23,6:07 AM,6/19/2025,true
AZ9023,Uta,Leonardo da Vinci International,Caraballeda,Venezuela,Charles de Gaulle,Dolní Rychnov,Czech Republic,19.7,3:11 PM,2/24/2026,false
UA9951,Renell,Los Angeles International,Candi Prambanan,Indonesia,San Francisco International,Shahrak,Afghanistan,21.93,5:45 AM,3/10/2026,true
AI8874,Thekla,Indira Gandhi International,San Ramón de la Nueva Orán,Argentina,Chhatrapati Shivaji International,Aizhai,China,16.81,3:56 AM,4/8/2026,true
SA9239,Davie,O.R. Tambo International,Lužani,Croatia,Charles de Gaulle,Dromiskin,Ireland,1.69,1:31 PM,6/8/2025,true
KL7602,Loreen,Amsterdam Airport Schiphol,Samut Songkhram,Thailand,Charles de Gaulle,Sol’-Iletsk,Russia,17.36,3:29 PM,10/18/2025,true
TG7636,Cherish,Suvarnabhumi,Wuyang,China,Changi,Mafeng,China,18.14,8:28 PM,3/21/2026,false
TG3782,Matteo,Suvarnabhumi,Merton,United Kingdom,Changi,Měřín,Czech Republic,12.92,4:22 AM,10/2/2025,false
LA9924,Pearla,São Paulo/Guarulhos International,Wenquan,China,Ministro Pistarini International,Sandaoba,China,17.22,8:09 PM,2/24/2026,true
EK4779,Darcy,Dubai International,Pasrūr,Pakistan,Hamad International,Kebonagung,Indonesia,22.78,5:09 AM,3/6/2026,false
KE7093,Donal,Incheon International,Barcarena,Brazil,Haneda,Ribeira Grande,Portugal,23.32,12:53 PM,6/18/2025,true
KE4277,Theda,Incheon International,Karlivka,Ukraine,Haneda,Lere,Nigeria,9.6,5:22 AM,11/3/2025,true
AZ3819,Arleta,Leonardo da Vinci International,Amiens,France,Denver International,Shiraz,Iran,6.54,10:28 PM,4/1/2026,true
EK9670,Weider,Dubai International,København,Denmark,Los Angeles International,Uppsala,Sweden,12.2,4:11 PM,11/23/2025,true
KL4376,Kippar,Amsterdam Airport Schiphol,Örebro,Sweden,Munich Airport,Llipa,Peru,19.25,6:34 PM,1/18/2026,false
AZ3825,Cherilynn,Leonardo da Vinci International,Amirdzhan,Azerbaijan,Charles de Gaulle,Kaduheuleut,Indonesia,7.0,9:25 AM,10/8/2025,true
AZ9571,Keven,Leonardo da Vinci International,Huanshi,China,Cairo International,Quebrada de Arena,Honduras,13.74,12:37 AM,12/23/2025,false
TG8205,Gothart,Suvarnabhumi,Curvelo,Brazil,Hong Kong International,Bački Breg,Serbia,20.31,9:47 AM,11/15/2025,false
WN2042,Clevey,Los Angeles International,Rebrikha,Russia,San Francisco International,Santiago Puringla,Honduras,2.17,12:27 AM,1/18/2026,true
UA5184,Odelle,Los Angeles International,Jishui,China,San Francisco International,Grenoble,France,16.1,10:57 PM,5/28/2025,false
NZ3523,Timmie,Auckland Airport,Sollebrunn,Sweden,Sydney Airport,Tsiombe,Madagascar,18.71,6:52 AM,6/27/2025,false
AC4014,Philipa,Toronto Pearson,Jaboticabal,Brazil,Hartsfield-Jackson Atlanta,Itsandra,Comoros,23.23,7:02 PM,10/22/2025,true
SQ1888,Robinette,Changi,Nangalimang,Indonesia,Beijing Capital International,Hatavch,Mongolia,8.85,3:56 AM,12/12/2025,true
KE6218,Dirk,Incheon International,Farsta,Sweden,Haneda,Maebaru,Japan,8.76,4:57 PM,5/30/2025,true
AF6288,Timotheus,Charles de Gaulle,Oslo,Norway,Cape Town International,Nykvarn,Sweden,6.69,12:49 AM,4/21/2026,false
AI8052,Samara,Indira Gandhi International,Torre,Portugal,Chhatrapati Shivaji International,Utajärvi,Finland,19.84,9:23 PM,10/17/2025,false
SA5535,Nina,O.R. Tambo International,Río Tercero,Argentina,Charles de Gaulle,Stamford,United States,15.43,3:56 PM,9/11/2025,true
NH4045,Terza,Haneda,Sung Noen,Thailand,Incheon International,Mendefera,Eritrea,21.03,4:35 AM,1/12/2026,false
LH2851,Rudie,Frankfurt Airport,Kralupy nad Vltavou,Czech Republic,Charles de Gaulle,Machalí,Chile,20.05,7:09 AM,4/12/2026,false
QR6223,Jeramey,Hamad International,Yambio,South Sudan,Amsterdam Airport Schiphol,Shiqiao,China,22.56,5:40 PM,9/22/2025,true
AA8129,Dominick,John F. Kennedy International,Yanliang,China,Hartsfield-Jackson Atlanta,Mancos,Peru,11.61,9:31 PM,11/6/2025,false
AM1632,Quinn,Benito Juárez International,Idalolong,Indonesia,O'Hare International,Adelaide Mail Centre,Australia,9.12,11:43 AM,5/12/2025,false
LH6949,Merle,Frankfurt Airport,Nerokoúros,Greece,Charles de Gaulle,Daxin,China,7.11,11:23 PM,10/7/2025,true
LA5369,Cathrin,São Paulo/Guarulhos International,Tabio,Philippines,Ministro Pistarini International,Zürich,Switzerland,22.35,5:41 PM,1/15/2026,false
NH4003,Hersch,Haneda,Szemud,Poland,Incheon International,Bashtanka,Ukraine,6.6,3:54 PM,11/14/2025,true
SA9026,Christos,O.R. Tambo International,Birzai,Lithuania,Charles de Gaulle,Liuliping,China,7.03,3:38 PM,8/10/2025,false
DL4448,Ezechiel,John F. Kennedy International,Maragogi,Brazil,Hartsfield-Jackson Atlanta,Daxindian,China,17.67,6:30 PM,1/18/2026,true
LA4286,Margarethe,São Paulo/Guarulhos International,Matiompong,Philippines,Ministro Pistarini International,Jinkou,China,9.05,5:40 PM,12/28/2025,false
ET1908,Jere,Bole International,Soanindrariny,Madagascar,Charles de Gaulle,Simnas,Lithuania,16.97,2:23 AM,8/24/2025,false
NZ2165,Gannie,Auckland Airport,La Cuesta,Peru,Sydney Airport,Lapuz,Philippines,5.8,5:24 PM,8/14/2025,true
LH8334,Oralla,Frankfurt Airport,Pesucen,Indonesia,Charles de Gaulle,Puolanka,Finland,22.56,12:52 PM,6/10/2025,true
IB3853,Brigitta,Adolfo Suárez Madrid–Barajas,Bohai,China,Charles de Gaulle,Maundai,Indonesia,6.3,11:32 AM,4/15/2026,true
SQ4254,Lennard,Changi,Heping,China,Beijing Capital International,Shurugwi,Zimbabwe,15.75,1:38 AM,6/14/2025,true
NZ4078,Lauralee,Auckland Airport,Kavār,Iran,Sydney Airport,Seshcha,Russia,14.62,2:09 PM,7/11/2025,false
CX2774,Katya,Hong Kong International,Mekarsari,Indonesia,Changi,Vohibinany,Madagascar,13.69,7:04 AM,3/25/2026,false
NZ5223,Fidelio,Auckland Airport,Vereya,Russia,Haneda,Catabola,Angola,5.94,10:30 AM,12/15/2025,true
WN4624,Charil,Los Angeles International,Imotski,Croatia,San Francisco International,Ząbkowice Śląskie,Poland,17.42,11:55 AM,9/23/2025,true
LH8386,Arvy,Frankfurt Airport,Stoczek Łukowski,Poland,Charles de Gaulle,Pingle,China,12.6,4:56 AM,3/6/2026,true
KE5668,Dion,Incheon International,Trélissac,France,Haneda,Babakanloa,Indonesia,14.04,9:57 AM,1/1/2026,true
KE3093,Ricca,Incheon International,Storuman,Sweden,O.R. Tambo International,Nāṟay,Afghanistan,11.95,12:52 AM,10/21/2025,false
AM4189,Charissa,Benito Juárez International,Akim Swedru,Ghana,O'Hare International,Tha Ruea,Thailand,1.21,5:06 PM,5/4/2025,false
SQ6672,Marylee,Changi,Taixi,China,Beijing Capital International,Diourbel,Senegal,16.63,1:09 PM,9/10/2025,false
CX4991,Lizzie,Hong Kong International,Lawa-an,Philippines,Changi,Luqiao,China,15.71,4:21 AM,3/16/2026,false
KL5737,Renell,Amsterdam Airport Schiphol,Altenberg bei Linz,Austria,Charles de Gaulle,Jiaoshanhe,China,2.53,3:31 AM,8/8/2025,false
